url,type,movie_tv_id,img_type
https://image.tmdb.org/t/p/original//dvQj1GBZAZirz1skEEZyWH2ZqQP.jpg,movie,1,backdrop
https://image.tmdb.org/t/p/w500//o6UMTE2LzQdlKVxRnFECPmtQjsJ.jpg,movie,1,poster
https://image.tmdb.org/t/p/w500//zBiHKhXklvTFwj4M1uEUcQGAVJ.jpg,movie,1,poster
https://image.tmdb.org/t/p/w500//6xUbUCvndklbGVYiljHr34NTxSl.jpg,movie,2,poster
https://image.tmdb.org/t/p/original//uJlc4aNPF3Y8yAqahJTKBwgwPVW.jpg,movie,3,backdrop
https://image.tmdb.org/t/p/w500//sU4o25RZullugxoXZstXKN8bPPF.jpg,movie,3,poster
https://image.tmdb.org/t/p/w500//9mKB79103q8naXiH5qZUXAARejo.jpg,movie,3,poster
https://image.tmdb.org/t/p/w500//aup2QCYCsyEeQfpboXy0f4uj8aE.jpg,movie,3,poster
https://image.tmdb.org/t/p/w500//okQY6jVmRU19CUbYPUZC77K3XBE.jpg,movie,4,poster
https://image.tmdb.org/t/p/w500//qKWcCmvGr4g0dgXvhqAc4BAMCtk.jpg,movie,5,poster
https://image.tmdb.org/t/p/original//hQ4pYsIbP22TMXOUdSfC2mjWrO0.jpg,movie,6,backdrop
https://image.tmdb.org/t/p/original//wd1PhoVfyeleAX4hMlp0FHvN284.jpg,movie,6,backdrop
https://image.tmdb.org/t/p/original//2U3LSaZtMk1HFDFhIgpx7idOVk7.jpg,movie,6,backdrop
https://image.tmdb.org/t/p/original//fZ0rzH83nprexRjNn9IQBVDq5rf.jpg,movie,6,backdrop
https://image.tmdb.org/t/p/original//kpuTCMw3v2AuKjqGS7383uWbc8V.jpg,movie,6,backdrop
https://image.tmdb.org/t/p/original//e9y7AZbUXLLzs8PmeU2w4YIhn0H.jpg,movie,6,backdrop
https://image.tmdb.org/t/p/original//dQL2wJZo05GDd21VgOacMeCuyZy.jpg,movie,6,backdrop
https://image.tmdb.org/t/p/w500//ojDg0PGvs6R9xYFodRct2kdI6wC.jpg,movie,6,poster
